id;cep;logradouro;complemento;numero;bairro;cidade;estado;criacao
1;customized Filmes Strategist;Forward Unidos;Peixe e-markets;back-end Forward;Eletrônicos;Avenida Integration;ouro bandwidth-monitored;2022-04-27T05:42:48
2;synthesizing prata;Plástico;Personal deposit;Taiwan;Account;circuit;Bacon prata Borracha;2022-04-26T18:13:42
3;Inteligente Inteligente;Licenciado prata;Manager multi-byte budgetary;Auto;visualize Queijo;calculate;backing;2022-04-27T11:16:11
4;Stand-alone;Mesa communities;Gostoso Account;Agent RSS Buckinghamshire;mobile discrete transform;Marginal Travessa coral;disintermediate;2022-04-27T02:19:54
5;Tocantins Salsicha;Buckinghamshire Avenida bandwidth;Savings;Namibia Madeira;Secured Avon cinza;de;monitoring;2022-04-27T11:18:29
6;JSON Configurable Fresco;Technician scale bypassing;Chapéu JSON;Fresco Account;Internal;Mobility Bebê;Versatile interface SSL;2022-04-26T22:15:33
7;hacking;ametista Metal;intermediate matrix;bandwidth application Central;application Account reboot;Corporate Internal Pará;neural Agent Fantástico;2022-04-27T13:18:37
8;Robust Pará;mão Lindo Computador;Inteligente;Micronésia contingency;bypassing compressing;RSS Polarised;attitude Loan;2022-04-26T19:10:54
9;Quality-focused Buckinghamshire;Travessa Rodovia morph;program withdrawal e-business;systems Usability Borders;Fantástico;Reduced;Travessa Analyst;2022-04-27T05:44:45
10;Eritreia;payment;Account protocol;maximize;Bulgária Dollar;1080p Nepal Creative;Travessa;2022-04-26T20:02:44
